token;type;SegnaleDisc;Macrofunzione;Tipo di interazione;Microfunzione
direi_278;direi;SD;Cognitiva;intervista semistrutturata;Intensificazione
direi_279;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_280;direi;Non_SD;;intervista semistrutturata;
direi_281;direi;Non_SD;;intervista semistrutturata;
direi_282;direi;Non_SD;;intervista semistrutturata;
direi_283;direi;Non_SD;;intervista semistrutturata;
direi_284;direi;Non_SD;;conversazione libera;
direi_285;direi;Non_SD;;ricevimento studenti;
direi_286;direi;Non_SD;;ricevimento studenti;
direi_287;direi;Non_SD;;ricevimento studenti;
direi_288;direi;Non_SD;;intervista semistrutturata;
direi_289;direi;Non_SD;;pasto;
direi_290;direi;SD;Metatestuale;ricevimento studenti;Filler, riempimento dei tempi di formulazione
direi_291;direi;SD;Cognitiva;ricevimento studenti;Modulazione del grado di confidenza del parlante
direi_292;direi;SD;Interazionale & Cognitiva;ricevimento studenti;Strategie di cortesia & Modulazione del grado di confidenza del parlante
direi_293;direi;Non_SD;;intervista semistrutturata;
direi_294;direi;Non_SD;;intervista semistrutturata;
direi_295;direi;Non_SD;;intervista semistrutturata;
direi_296;direi;Non_SD;;intervista semistrutturata;
direi_297;direi;Non_SD;;intervista semistrutturata;
direi_298;direi;Non_SD;;intervista semistrutturata;
direi_299;direi;SD;Interazionale & Cognitiva;intervista semistrutturata;Conferma dell'attenzione & Intensificazione
direi_300;direi;Non_SD;;intervista semistrutturata;
direi_301;direi;Non_SD;;intervista semistrutturata;
direi_302;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_303;direi;Non_SD;;intervista semistrutturata;
direi_304;direi;SD;Interazionale & Cognitiva;intervista semistrutturata;Conferma dell'attenzione & Intensificazione
direi_305;direi;SD;Cognitiva;intervista semistrutturata;Approssimazione
direi_306;direi;SD;Interazionale & Metatestuale;intervista semistrutturata;Cessione del turno & Chiusura di un topic
direi_307;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_308;direi;SD;Interazionale & Metatestuale;intervista semistrutturata;Cessione del turno & Chiusura di un topic
direi_309;direi;Non_SD;;intervista semistrutturata;
direi_310;direi;Non_SD;;esame;
direi_311;direi;Non_SD;;pasto;
direi_312;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_313;direi;Non_SD;;lezione;
direi_314;direi;Non_SD;;intervista semistrutturata;
direi_315;direi;Non_SD;;pasto;
direi_316;direi;SD;Interazionale & Cognitiva;pasto;Manifestazione di accordo & Intensificazione
direi_317;direi;SD;Cognitiva;lezione;Modulazione del grado di confidenza del parlante
direi_318;direi;Non_SD;;intervista semistrutturata;
direi_319;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_320;direi;SD;Cognitiva;conversazione libera;Modulazione del grado di confidenza del parlante
direi_321;direi;SD;Cognitiva;conversazione libera;Modulazione del grado di confidenza del parlante
direi_322;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_323;direi;Non_SD;;intervista semistrutturata;
direi_324;direi;SD;Cognitiva;lezione;Approssimazione
direi_325;direi;SD;Cognitiva;lezione;Modulazione del grado di confidenza del parlante
direi_326;direi;Non_SD;;lezione;
direi_327;direi;Non_SD;;lezione;
direi_328;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_329;direi;Non_SD;;intervista semistrutturata;
direi_330;direi;Non_SD;;intervista semistrutturata;
direi_331;direi;Non_SD;;intervista semistrutturata;
direi_332;direi;Non_SD;;intervista semistrutturata;
direi_333;direi;SD;Cognitiva;intervista semistrutturata;Modulazione del grado di confidenza del parlante
direi_334;direi;Non_SD;;intervista semistrutturata;
direi_335;direi;Non_SD;;intervista semistrutturata;
direi_336;direi;Non_SD;;intervista semistrutturata;
direi_337;direi;Non_SD;;intervista semistrutturata;
direi_338;direi;Non_SD;;intervista semistrutturata;
direi_339;direi;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
direi_340;direi;Non_SD;;intervista semistrutturata;
direi_341;direi;Non_SD;;intervista semistrutturata;
direi_342;direi;Non_SD;;intervista semistrutturata;
direi_343;direi;Non_SD;;intervista semistrutturata;
direi_344;direi;Non_SD;;intervista semistrutturata;
praticamente_1;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_2;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_3;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_4;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_5;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_6;praticamente;SD;Cognitiva;intervista semistrutturata;Specificazione
praticamente_7;praticamente;SD;Metatestuale & Cognitiva;intervista semistrutturata;Riformulazione & Specificazione
praticamente_8;praticamente;SD;Metatestuale;lezione;Prolettico, marca di formulazione: ecco & Esemplificazione
praticamente_9;praticamente;SD;Metatestuale & Cognitiva;lezione;Riformulazione & Specificazione
praticamente_10;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_11;praticamente;SD;Metatestuale & Cognitiva;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Attenuazione
praticamente_12;praticamente;SD;Cognitiva;intervista semistrutturata;Specificazione & Intensificazione
praticamente_13;praticamente;SD;Cognitiva;intervista semistrutturata;Specificazione
praticamente_14;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_15;praticamente;SD;Metatestuale & Cognitiva;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Marcatura dell'inferenza
praticamente_16;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_17;praticamente;SD;Metatestuale & Cognitiva;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Intensificazione
praticamente_18;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_19;praticamente;SD;Metatestuale;pasto;Filler, riempimento dei tempi di formulazione
praticamente_20;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_21;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_22;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_23;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_24;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_25;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_26;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_27;praticamente;SD;Metatestuale;conversazione libera;Filler, riempimento dei tempi di formulazione
praticamente_28;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_29;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_30;praticamente;SD;Metatestuale;ricevimento studenti;Prolettico, marca di formulazione: ecco
praticamente_31;praticamente;SD;Interazionale & Metatestuale;ricevimento studenti;Presa di turno & Prolettico, marca di formulazione: ecco
praticamente_32;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_33;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_34;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_35;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_36;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_37;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_38;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Esemplificazione
praticamente_39;praticamente;SD;Metatestuale;intervista semistrutturata;Filler, riempimento dei tempi di formulazione
praticamente_40;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_41;praticamente;SD;Metatestuale & Cognitiva;intervista semistrutturata;Chiusura di un topic & Approssimazione
praticamente_42;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_43;praticamente;SD;Cognitiva;intervista semistrutturata;Specificazione
praticamente_44;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco & General extenders e marche di generalizzazione
praticamente_45;praticamente;SD;Metatestuale;intervista semistrutturata;Riformulazione
praticamente_46;praticamente;SD;Metatestuale;lezione;Filler, riempimento dei tempi di formulazione
praticamente_47;praticamente;SD;Cognitiva;intervista semistrutturata;Approssimazione
praticamente_48;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_49;praticamente;SD;Cognitiva;intervista semistrutturata;Approssimazione
praticamente_50;praticamente;SD;Metatestuale;esame;Riformulazione
praticamente_51;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_52;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_53;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_54;praticamente;SD;Metatestuale & Cognitiva;conversazione libera;Prolettico, marca di formulazione: ecco & Attenuazione
praticamente_55;praticamente;SD;Metatestuale;conversazione libera;Prolettico, marca di formulazione: ecco
praticamente_56;praticamente;SD;;conversazione libera;#CALC!
praticamente_57;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_58;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_59;praticamente;SD;Metatestuale;pasto;Filler, riempimento dei tempi di formulazione
praticamente_60;praticamente;SD;Metatestuale;pasto;Prolettico, marca di formulazione: ecco
praticamente_61;praticamente;SD;Metatestuale;pasto;Filler, riempimento dei tempi di formulazione
praticamente_62;praticamente;SD;Metatestuale & Cognitiva;pasto;Prolettico, marca di formulazione: ecco & Marcatura dell'inferenza
praticamente_63;praticamente;SD;Cognitiva;intervista semistrutturata;Approssimazione
praticamente_64;praticamente;SD;Cognitiva;intervista semistrutturata;Specificazione
praticamente_65;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_66;praticamente;SD;Metatestuale;intervista semistrutturata;Gestione del topic: introduzione o ripresa di topic & Prolettico, marca di formulazione: ecco
praticamente_67;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
praticamente_68;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco & Filler, riempimento dei tempi di formulazione
praticamente_69;praticamente;SD;Metatestuale;intervista semistrutturata;Prolettico, marca di formulazione: ecco
