Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PBB017;#160129;doc#23;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=1165972&end=1167210;1165972;1167210;BOI050;PBB017;01:06:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB017.html;https://search.corpuskiparla.it/corpus/conversations/PBB017_jefferson.html;46-50;F;BO;2;uff;sì;asimmetrico;sardegna;intervista semistrutturata;dip_lic;po'' bruttina però // sì squallida da morire // però // sì sì però vabbè come tante magari in altre lingue // # l''umarell // #;sai;chi è l''umarell? // ma quello // # l''umarell // # è l''omino l''umarell l''omino // ma che omino // # eh l''omino in generale;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB017;#161355;doc#23;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=1531130&end=1535140;1531130;1535140;BOI050;PBB017;01:06:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB017.html;https://search.corpuskiparla.it/corpus/conversations/PBB017_jefferson.html;46-50;F;BO;2;uff;sì;asimmetrico;sardegna;intervista semistrutturata;dip_lic;a san luca lo stesso a piedi cioè // // poi se arriva qualcosa di bello bene // è un detto di qui quindi? // sì tipo credenti;sai;quando uno fa quei fioretti no // mh // okay // il fioretto sarebbe che insomma // che se in teoria ottieni quello che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB017;#165452;doc#23;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB017&begin=2774430&end=2778520;2774430;2778520;BOI050;PBB017;01:06:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB017.html;https://search.corpuskiparla.it/corpus/conversations/PBB017_jefferson.html;46-50;F;BO;2;uff;sì;asimmetrico;sardegna;intervista semistrutturata;dip_lic;che si capisce che che se vai a chiedere ti danno qualcosa // diciamo che // non te lo vengono più ad~ a offrire ma sei tu che;sai;dove andare // però mi ricordo che con le biciclette ti giravano intorno con la bici per fartela vedere // bici bici bici;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC001;#212613;doc#29;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC001&begin=3260267&end=3261787;3260267;3261787;BOR001;PBC001;00:55:41;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC001.html;https://search.corpuskiparla.it/corpus/conversations/PBC001_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;comunque // mh // beh ti chiedo un''ultima cosa così per curiosità // sì // e ma mh // il dialetto bolognese tu // lo;sai;lo capisci // o // io lo so perfettamente ma non l~ mh // non è il mio uso parlarlo ogni tanto mi capita di mettere qualche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC004;#220858;doc#30;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=2599490&end=2605537;2599490;2605537;BOI011;PBC004;00:58:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC004.html;https://search.corpuskiparla.it/corpus/conversations/PBC004_jefferson.html;66-70;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;pulissero magari // se li pulissero // beh più che altro è è quello di san luca eh il nostro gioiello è quello di san luca lo;sai;che quando vai su ne devi saltare uno eh // mhmh // ah sì // sì // cioè quando sali a un certo punto dove pare a te // ah ah // a un;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPN030;#226440;doc#31;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=782564&end=785789;782564;785789;PKP142;KPN030;00:00:29.490000;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;F;BO;3;stud;no;simmetrico;basilicata;pasto;laurea in corso;// e dove come vuoi essere cremata? seppellita? // mh // eh lo è un problema però seppellita dai // seppellita // mh // lo;sai;che anche io scegliereimh di essere tipo seppellita // mh // ci sta xx è pù classico secondo me // cremata no // xxx // mh //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPN030;#227470;doc#31;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=1046712&end=1051474;1046712;1051474;PKP136;KPN030;00:00:29.490000;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;M;BO;3;stud;no;simmetrico;basilicata;pasto;laurea in corso;qua questo bambino si chiama stefano come me ed è nato tipo il quattro agosto // e si chiama stefano e tipo mi chiamano ah;sai;quanti nicola nella mia vita c''è mia zio mia cugino // x // x // l''altro giorno che si è ubriacata voleva mandarmi un video;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;non si capisce bene sul sai, ma direi dal testo NO SD
KPN030;#229838;doc#31;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN030&begin=1616501&end=1620792;1616501;1620792;PKP136;KPN030;00:00:29.490000;libero;https://search.corpuskiparla.it/corpus/conversations/KPN030.html;https://search.corpuskiparla.it/corpus/conversations/KPN030_jefferson.html;21-25;M;BO;3;stud;no;simmetrico;basilicata;pasto;laurea in corso;// che poi voglio dire che fa piacere parlare e è interessato so~ due cose diverse quindi // eh s~ sì // però almeno;sai;di non star rompendo i coglioni a nessuno cioè // eh sì // boh non ne ho idea io boh infatti io ho detto se se vuole se ci;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPS023;#235348;doc#32;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS023&begin=1572328&end=1574995;1572328;1574995;PKP130;KPS023;00:37:12;libero;https://search.corpuskiparla.it/corpus/conversations/KPS023.html;https://search.corpuskiparla.it/corpus/conversations/KPS023_jefferson.html;31-35;F;CE;2;intell;no;simmetrico;campania;pasto;laurea;non non so // però comunque le olimpiadi delle donne islamiche è un fatto che non sapevo // poi il fatto della // la sharia;sai;tutte queste cose del corano // ma io avrò pagato un euro eh // mh // cioè non è che è un libro che comunque vendono ancora //;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;0;;
KPS023;#235525;doc#32;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS023&begin=1636551&end=1640126;1636551;1640126;PKP130;KPS023;00:37:12;libero;https://search.corpuskiparla.it/corpus/conversations/KPS023.html;https://search.corpuskiparla.it/corpus/conversations/KPS023_jefferson.html;31-35;F;CE;2;intell;no;simmetrico;campania;pasto;laurea;// ehm // e parla di queste olimpiadi poi parla della condizione delle donne indiane // il fatto che in india il divorzio;sai;prima come veniva va sancito? // come? // il marito diceva tre volte voglio divorziare voglio divorziare voglio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOA3002;#239246;doc#33;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=399724&end=403480;399724;403480;BO009;BOA3002;00:18:17;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3002.html;https://search.corpuskiparla.it/corpus/conversations/BOA3002_jefferson.html;21-25;F;BO;4;stud;no;simmetrico;emilia-romagna;conversazione libera;laurea in corso;over nine thousand // e io // vegeta // no sai io cosa odio? quando // e io boh // quando tu fai un discorso un discorso e lui;sai;cosa ti risponde // è così // ops // eh? // io ti racconto del~ dei miei problemi esistenziali e tu mi rispondi // cioè io xx;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA028;#264891;doc#36;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA028&begin=2698260&end=2702170;2698260;2702170;BOI111;PBA028;01:05:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA028.html;https://search.corpuskiparla.it/corpus/conversations/PBA028_jefferson.html;21-25;M;BO;3;uff;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;dici oh bello c''è l''ufo // // io ci sono stata con la scuola ai radiotelescopi però è vero // però // però se se sei a scuola no;sai;devi far qualcosa poi sai // è vero // con le scuole cosa succede che c''è la scuola c''è il bambino il bambino cosa c''ha dei;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;
PBA025;#290170;doc#39;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA025&begin=933461&end=935227;933461;935227;BOI096;PBA025;00:29:28;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA025.html;https://search.corpuskiparla.it/corpus/conversations/PBA025_jefferson.html;16-20;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;med;paludose le fondamenta quindi // neanche neanche la torre degli asinelli è stabile // in realta la garisenda // proprio;sai;la storia delle torri? // eh // delle famiglie che si volevano // sì sì sì sì // okay // quindi il pezzo sopra è caduto //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#317360;doc#44;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=62570&end=68490;62570;68490;BOI037;PBC015;00:32:24;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;61-65;M;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// la città era ovviamente molto diversa // eh soprattutto era molto meno trafficata c''era molto meno caos // eh per cui;sai;mh l''ho conosciuta in quegli anni in cui la riuscivo // eh in cui riuscivo a muovermici dentro senza nessuna nessuna;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;0;;
PBC015;#318304;doc#44;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=427620&end=432650;427620;432650;BOI037;PBC015;00:32:24;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;61-65;M;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;che un''altra se // c''è stato qualcosa che ti ha messo eh ti ha messo in difficoltà // ecco eh mh però // una volta che poi;sai;in che strada ti trovi a quel punto se hai lo schema mentale in testa // ti muovi abbastanza // agevolemte certo oggi // è;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#321580;doc#44;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1705640&end=1711660;1705640;1711660;BOI037;PBC015;00:32:24;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;61-65;M;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;che ripeto // è un buon livello // eh bisogna far~ continuare a fare attenzione perchè // eh // qui con la tecnologia;sai;tra tra qualche anno può può succedere di tutto insomma eh quindi // bisogna sempre stare lì // // per cercare di non;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;0;;
PBA007;#326420;doc#45;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=1467190&end=1472800;1467190;1472800;BOI065;PBA007;00:35:18;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA007.html;https://search.corpuskiparla.it/corpus/conversations/PBA007_jefferson.html;16-20;F;BO;3;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;diciamo questo lato // de~ della // catechè~ catechesi non lo so dell'' dell''oratorio insieme? // sì sì // hai xxxxx //;sai;che sinceramente non so se lei si sia preparata per essere una madrina non so se tu abbia dov~ // se lei abbia dovuto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;diciamo, non sai
PTA003;#331485;doc#46;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA003&begin=862040&end=863582;862040;863582;TOI003;PTA003;01:03:28;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA003.html;https://search.corpuskiparla.it/corpus/conversations/PTA003_jefferson.html;26-30;M;TO;5;oper;sì;asimmetrico;piemonte;intervista semistrutturata;dip_tec_prof;non sapevo chi // tu che non sai chi è lo conosci quindi immaginati quanto lui eh oggi è diventato famoso // certo // non;sai;che cosa fa ma ah sì // sì sì sì sì // lo conosce mia mamma che ha sessant''anni // // certo // e fa l''opinionista a italia''s got;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA003;#337657;doc#46;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA003&begin=2469693&end=2471640;2469693;2471640;TOI002;PTA003;01:03:28;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA003.html;https://search.corpuskiparla.it/corpus/conversations/PTA003_jefferson.html;26-30;M;TO;5;oper;sì;asimmetrico;piemonte;intervista semistrutturata;dip_tec_prof;strano ma avevo tre anni era il novanta l''ultimo scudetto del napoli // mi ricordo mio papà che mi por~ ma propio f~ // cioè;sai;quei ricordi da bambino che hai? // mh mh mh // io sulle spalle di mio padre lui con la bandiera del napoli siamo andati a;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOC1004;#349860;doc#47;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=2303835&end=2307033;2303835;2307033;TO018;TOC1004;01:08:11;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1004.html;https://search.corpuskiparla.it/corpus/conversations/TOC1004_jefferson.html;61-65;M;TO;3;intell;sì;asimmetrico;piemonte;esame;phd;di quest~ di questa sostanza // ehmh // io non non me lo ricordo // mh // ci si è messa da sola eh su questa xx // lo so // // e;sai;che l'' appetito vien mangiando quindi se uno stimola una curiosità // ehmh // categoria dei grassi? // dal punto di vista;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC003;#386885;doc#51;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC003&begin=2986824&end=2991316;2986824;2991316;BOI010;PBC003;01:15:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC003.html;https://search.corpuskiparla.it/corpus/conversations/PBC003_jefferson.html;71-75;M;BO;3;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;med;mese c''è una foto di bologna antica // #a ghè ehm c''è tutto // sì // mh // #ben t''ho dit che a me gnu in ment ca io quist chi ma;sai;che xx quei c''at zerca ti qui xx // sì sì // #è istruttivo da matti allora anc~ anche un vero bolognese non s~ non sa mica tut~;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOA3004;#398360;doc#52;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3004&begin=1784790&end=1786880;1784790;1786880;===NONE===;TOA3004;00:34:49;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3004.html;https://search.corpuskiparla.it/corpus/conversations/TOA3004_jefferson.html;===NONE===;===NONE===;TO;4;===NONE===;no;simmetrico;===NONE===;conversazione libera;===NONE===;sigaretta è veleno // eh lo so che è veleno però // xxxx // mi spiace // è veleno // eh lo so // eh sì // è vero // arrivederci //;sai;quante ne sai quante sigarette fumavo io? // tante? quante? // trenta sigarette al giorno // ohi // xxxxxxx // che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD1014;#412037;doc#53;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=5113804&end=5115906;5113804;5115906;TO068;TOD1014;02:53:11;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1014.html;https://search.corpuskiparla.it/corpus/conversations/TOD1014_jefferson.html;36-40;F;TO;1;intell;no;asimmetrico;sicilia;lezione;phd;delle cose // la lattuga ferragnez non lo so forse // ah? // l'' accordo con carrefour non è che sia andato proprio bene // ma;sai;non è andato benissimo pare // in effetti i social sono un po'' strani // nel senso che sono un po'' da un certo punto di vista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;non lo trovo!
BOA3003;#453995;doc#58;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=497648&end=504517;497648;504517;BO018;BOA3003;01:18:34;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;BO;4;stud;no;simmetrico;toscana;conversazione libera;laurea in corso;// mh // mh // io? // no // raga io c'' ho un panico con l'' olio // no // ancora? // c'' ho un rapporto con l'' olio xxx // oddio lo;sai;una volta lella era con l'' olio così gli scappò da una parte e mi venne tutto addosso a me mi fece il bagno con l'' olio // con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPC005;#466677;doc#59;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=1105940&end=1108711;1105940;1108711;PKP065;KPC005;00:32:16;libero;https://search.corpuskiparla.it/corpus/conversations/KPC005.html;https://search.corpuskiparla.it/corpus/conversations/KPC005_jefferson.html;56-60;F;AN;3;uff;no;simmetrico;calabria;pasto;dip_tec_prof;vai // xx sai quanto costa l''autostrada andata e ritorno gianni? // eh // cinquanta euro? // costa un casino di soldi;sai;quanto abbiamo speso noi // a fine settembre per l''autostrada? trecento più di trecentocinquanta euro // ottobre;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC013;#483193;doc#61;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=2219181&end=2227381;2219181;2227381;BOI035;PBC013;01:08:09;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;lì mh trenta e rotti anni // ehm // eh e anche lì oggi non è più così ma neanche lontanamente l'' @nomeazienda non so se lo;sai;// è nata a bologna è stata acquistata coi soldi del movimento cooperativo stava fallendo una piccola assicurazione e e;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
